tokens,relationtype,label,upperclass_1,upperclass_2
versoucken; versocht; verzoeken; versouck; verzoek; versoek; versoeken; versoeke; versoekt; versoecq; versoeck; versoecke; versochte; versoeckende; versocht; versouckende; versoecken; versoeckt; versouckt; verzogt,isOfType,Request,SocialInteraction,DynamicEvent
leverantie; leverancie; leeverantie; leverantien; deleverantie,evokes,Transportation,Translocation,DynamicEvent
leverantie; leverancie; leeverantie; leverantien; deleverantie,evokes,Trade,ChangeOfPossession,DynamicEvent
aenkomst; aenkomen; aencompst; aencompste; aankomende,isOfType,Arriving,Translocation,DynamicEvent
vertreck; vertrocken; vertreckende; vertrokken; vertrek; vertrecke; vertrekken; vertrecken,isOfType,Leaving,Translocation,DynamicEvent
voijagie; vojagie; voyagie; voijage; voyagien; voijagien,isOfType,Voyage,Translocation,DynamicEvent
affvaerdigen; affgevaerdigt,evokes,Leaving,Translocation,DynamicEvent
ontfangen; ontfangst; ontvangen; ontfange; ontvange,isOfType,Getting,ChangeOfPossession,DynamicEvent
ontfangene; ontvangene,evokes,Getting,ChangeOfPossession,DynamicEvent
geeven; geven; geevende; gevende; gaf; gaff; gaaven,isOfType,Giving,ChangeOfPossession,DynamicEvent
affgeladene;  affgelaedene;  afladen; afflaaden; vollaaden; vollading,evokes,Transportation,Translocation,DynamicEvent
geladene; gelaadene; gelaedene,evokes,Transportation,Translocation,DynamicEvent
affgescheepte; gescheept; affgescheept; affschepen; afschepen,evokes,Transportation,Translocation,DynamicEvent
versonden; versondene; versenden; versond,evokes,Transportation,Translocation,DynamicEvent
affsenden; affgesonden; affgesondene; affsond,evokes,Transportation,Translocation,DynamicEvent
receptie; reseptie,isOfType,Getting,ChangeOfPossession,DynamicEvent
besendinge; bezendingen; besending; besendingh; bezendinge; bezending; besendingen; retourbesending; retourbezending; bezendingh,evokes,Transportation,Translocation,DynamicEvent
cruijssen; kruissen; cruijsen; kruisen,isOfType,Translocation,DynamicEvent,
order; ordre; ordere; order; ordres; orders,evokes,Communication,SocialInteraction,DynamicEvent
bevel; beveelen; beveelens,evokes,Communication,SocialInteraction,DynamicEvent
verblijf; verblijff; verblyf; verblijv; verblyff; verblijft ,evokes,BeingAtAPlace,StaticEvent,
quamen; comen; koomen; gekoomen; gekomen; gecomen; gecoomen; komende; koomende; komen,isOfType,Arriving,Translocation,DynamicEvent
transport; transporteren; transporteeren,isOfType,Transportation,Translocation,DynamicEvent
commando; gecommandeert,evokes,BeingLeader,StaticEvent,
depart,isOfType,Leaving,Translocation,DynamicEvent
oorloge; oorlogh; oorlooge; oorlog,evokes,BeingInConflict,StaticEvent,
sterfte; dood; doodt; stervte,evokes,BeingDead,StaticEvent,
gestorven; sterven; sterfen; stierf; gesturven,isOfType,BeingDead,StaticEvent,
arrivement; arrive,isOfType,Arriving,Translocation,DynamicEvent
overleden; overlijden; overledene,isOfType,BeingDead,StaticEvent,
vermoorden; moorden; vermoord; vermoort,isOfType,Killing,Attacking,ViolentContest
moord; moort,evokes,Killing,Attacking,ViolentContest
